id;date_creation;date_lancement;date_cloture;encour;pourcentage_mise;pourcentage_rebourt
1;2019-07-23T22:23:08;2019-07-24T03:09:46;2019-07-23T22:00:09;false;14808;28484
2;2019-07-23T15:09:04;2019-07-24T14:12:41;2019-07-24T08:41:38;true;97661;50267
3;2019-07-24T05:13:55;2019-07-24T13:51:40;2019-07-24T14:18:12;false;34507;90826
4;2019-07-23T23:52:21;2019-07-24T09:20:50;2019-07-23T22:45:36;false;53093;48945
5;2019-07-24T04:21:00;2019-07-23T15:26:29;2019-07-24T01:49:39;false;59269;67213
6;2019-07-24T13:09:22;2019-07-23T20:49:05;2019-07-24T06:13:30;false;24215;72821
7;2019-07-23T19:49:18;2019-07-24T06:16:12;2019-07-24T03:48:34;true;98342;63352
8;2019-07-24T05:31:30;2019-07-24T02:14:18;2019-07-23T19:30:09;false;79834;83530
9;2019-07-24T11:28:46;2019-07-24T07:23:53;2019-07-24T02:54:00;false;69581;4077
10;2019-07-23T18:29:47;2019-07-24T00:54:55;2019-07-24T07:16:25;true;22024;1658
