id;montant;date_mise;date_validation;etat;position_clic
1;21844;2019-07-24T10:37:08;2019-07-24T05:06:02;89255;88328
2;53934;2019-07-24T07:18:45;2019-07-23T19:43:06;12208;89609
3;35629;2019-07-24T07:27:53;2019-07-23T17:19:59;11005;27213
4;22793;2019-07-23T23:33:08;2019-07-24T04:50:46;52;81801
5;35256;2019-07-23T18:26:22;2019-07-24T07:46:55;695;16465
6;51074;2019-07-24T02:16:43;2019-07-24T05:04:44;48482;22210
7;69243;2019-07-24T12:13:12;2019-07-24T08:37:51;33761;24412
8;94290;2019-07-24T11:03:28;2019-07-24T07:20:23;21876;51879
9;55810;2019-07-23T22:13:28;2019-07-24T05:24:17;36362;6489
10;97178;2019-07-24T09:00:10;2019-07-23T15:59:53;24687;25178
